DATE,TOTAL_SAMPLES,FAULT_COUNT,FAULT_PERCENTAGE
2020-05-15,5,5,100.0
2020-05-16,4,4,100.0
2020-05-17,7,7,100.0
2020-05-18,6,6,100.0
2020-05-19,1,1,100.0
2020-05-21,10,10,100.0
2020-05-22,7,7,100.0
2020-05-23,5,5,100.0
2020-05-24,11,11,100.0
2020-05-25,2,2,100.0
2020-05-26,10,10,100.0
2020-05-27,7,7,100.0
2020-05-28,6,6,100.0
2020-05-29,2,2,100.0
2020-05-30,10,10,100.0
2020-05-31,9,9,100.0
2020-06-01,8,8,100.0
2020-06-02,7,7,100.0
2020-06-03,5,5,100.0
2020-06-04,11,11,100.0
2020-06-05,8,8,100.0
2020-06-06,8,8,100.0
2020-06-07,13,13,100.0
2020-06-08,6,6,100.0
2020-06-09,6,6,100.0
2020-06-10,5,5,100.0
2020-06-11,19,19,100.0
2020-06-12,13,13,100.0
2020-06-13,8,8,100.0
2020-06-14,10,10,100.0
2020-06-15,4,4,100.0
2020-06-16,4,4,100.0
2020-06-17,7,7,100.0
